#,Práctica,Aplicable a,Importancia,Dificultad de Deducción,Comentarios,Importancia Valor,Dificultad Valor,Aplicable Valor,Promedio Importancia,Promedio Dificultad,Promedio Aplicable,Extremadamente importante,Importante,Muy importante,Nada importante,Poco importante,importante,Difícil de deducir,Fácil de deducir,Moderadamente deducible,Ambos,Avanzados,Iniciales
1,resolver gran cantidad de problemas fáciles e incrementar gradualmente la dificultad.,Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,3.4444444444444446,1.4444444444444444,1.3333333333333333,6,2,1,0,0,0,0,5,4,4,1,4
2,"Si se conoce a alguien que tenga experiencia en programación competitiva, hacerle preguntas, pedir ayuda y si es posible clases de apoyo.",Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,2.6666666666666665,1.2222222222222223,1.2222222222222223,2,3,3,0,1,0,0,7,2,4,0,5
3,Conseguir algún libro base y leerlo de principio a fin.,Ambos,Poco importante,Fácil de deducir,,1.0,1.0,1.5,2.2222222222222223,1.4444444444444444,1.2777777777777777,1,4,2,0,2,0,0,5,4,5,0,4
4,"Para formar un equipo tomar en cuenta personas que: tengan buena relación, tengan buena comunicación, les divierta resolver problemas, les guste programar, compartan objetivos, compartan el nivel de compromiso, cuenten con habilidades complementarias, tengan experiencia y nivel competitivo similar.",Ambos,Muy importante,Moderadamente deducible,,3.0,2.0,1.5,3.5555555555555554,2.4444444444444446,1.5,6,1,2,0,0,0,5,1,3,7,1,1
5,"Alcanzar un nivel adecuado de lectura de inglés para comprender correctamente enunciados y editoriales de problemas, mientras se amplía de manera constante el vocabulario.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.5555555555555554,1.3333333333333333,1.5,6,1,2,0,0,0,0,6,3,7,1,1
6,"Practicar constantemente dactilografía para incrementar la velocidad de escritura de código, se considera aceptable poder escribir sin mirar el teclado con un mínimo de 50 palabras por minuto.",Avanzados,Muy importante,Moderadamente deducible,,3.0,2.0,2.0,2.0,1.8888888888888888,1.6666666666666667,0,2,4,1,2,0,0,1,8,2,5,2
7,Mantener un ritmo constante de entrenamiento y evitar dejar de entrenar por largos periodos de tiempo.,Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.2222222222222223,1.6666666666666667,1.5,3,1,5,0,0,0,1,4,4,9,0,0
8,"Fuera de competencia, antes de comenzar a escribir código, estimar cuánto tiempo tomará hacerlo, medir el tiempo real hasta obtener un envío aceptado, y luego comparar ambos para mejorar gradualmente la precisión en la estimación.",Avanzados,Importante,Difícil de deducir,,2.0,3.0,2.0,2.7777777777777777,2.4444444444444446,1.7777777777777777,2,4,3,0,0,0,5,1,3,4,5,0
9,"Fuera de competencia, reescribir varias veces el código de una solución difícil, hasta sentirse cómodo escribiendo un código similar sin dificultad.",Avanzados,Importante,Difícil de deducir,,2.0,3.0,2.0,1.7777777777777777,2.111111111111111,1.7222222222222223,0,5,1,0,3,0,3,2,4,3,5,1
10,"Después de resolver un problema preguntarse qué se hizo bien, que se hizo mal, cómo se podría haber resuelto en menos tiempo y que se aprendió mientras se resolvió el problema.",Avanzados,Importante,Moderadamente deducible,,2.0,2.0,2.0,2.4444444444444446,2.2222222222222223,1.6111111111111112,3,2,1,0,3,0,2,0,7,7,2,0
11,Después de resolver un problema comparar la solución con la de otros competidores.,Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,1.7777777777777777,1.7777777777777777,1.3888888888888888,0,2,3,1,3,0,0,2,7,5,1,3
12,"Si después de resolver un problema se ha desarrollado una técnica que se cree puede servir para otros problemas, documentar dicha técnica y compartirla.",Ambos,Muy importante,Moderadamente deducible,,3.0,2.0,1.5,2.2222222222222223,2.111111111111111,1.7777777777777777,0,5,3,0,1,0,1,0,8,4,5,0
