#,Práctica,Aplicable a,Importancia,Dificultad de Deducción,Comentarios
Sección A,Inicio: Prácticas enfocadas en los primeros pasos para mejorar habilidades básicas y establecer fundamentos sólidos.,,,,
1,resolver gran cantidad de problemas fáciles e incrementar gradualmente la dificultad.,Ambos,Muy importante,Moderadamente deducible,
2,"Si se conoce a alguien que tenga experiencia en programación competitiva, hacerle preguntas, pedir ayuda y si es posible clases de apoyo.",Ambos,Poco importante,Fácil de deducir,
3,Conseguir algún libro base y leerlo de principio a fin.,Iniciales,Poco importante,Moderadamente deducible,
4,"Para formar un equipo tomar en cuenta personas que: tengan buena relación, tengan buena comunicación, les divierta resolver problemas, les guste programar, compartan objetivos, compartan el nivel de compromiso, cuenten con habilidades complementarias, tengan experiencia y nivel competitivo similar.",Ambos,Extremadamente importante,Fácil de deducir,
5,"Alcanzar un nivel adecuado de lectura de inglés para comprender correctamente enunciados y editoriales de problemas, mientras se amplía de manera constante el vocabulario.",Ambos,Muy importante,Moderadamente deducible,
6,"Practicar constantemente dactilografía para incrementar la velocidad de escritura de código, se considera aceptable poder escribir sin mirar el teclado con un mínimo de 50 palabras por minuto.",Ambos,Importante,Fácil de deducir,
Sección B,Entrenamiento Individual: Prácticas diseñadas para mejorar habilidades personales a través del entrenamiento constante.,,,,
7,Mantener un ritmo constante de entrenamiento y evitar dejar de entrenar por largos periodos de tiempo.,Ambos,Importante,Moderadamente deducible,
8,"Fuera de competencia, antes de comenzar a escribir código, estimar cuánto tiempo tomará hacerlo, medir el tiempo real hasta obtener un envío aceptado, y luego comparar ambos para mejorar gradualmente la precisión en la estimación.",Avanzados,Importante,Difícil de deducir,
9,"Fuera de competencia, reescribir varias veces el código de una solución difícil, hasta sentirse cómodo escribiendo un código similar sin dificultad.",Ambos,Importante,Difícil de deducir,
10,"Después de resolver un problema preguntarse qué se hizo bien, que se hizo mal, cómo se podría haber resuelto en menos tiempo y que se aprendió mientras se resolvió el problema.",Ambos,Extremadamente importante,Moderadamente deducible,
11,Después de resolver un problema comparar la solución con la de otros competidores.,Ambos,Muy importante,Moderadamente deducible,
12,"Si después de resolver un problema se ha desarrollado una técnica que se cree puede servir para otros problemas, documentar dicha técnica y compartirla.",Ambos,Muy importante,Moderadamente deducible,
13,"Consumir incrementalmente la editorial de un problema, leer la primera oración de la explicación y luego pensar 5 minutos, continuar avanzando oración por oración, párrafo por párrafo, intentando deducir la solución por cuenta propia a partir de algún punto.",Ambos,Muy importante,Moderadamente deducible,
14,"Si después de leer un par de veces la editorial de un problema aún no se consigue entender la solución, copiarla a mano en una hoja de papel y leer un par de veces más.",Ambos,Poco importante,Difícil de deducir,
