#,Práctica,Aplicable a,Importancia,Dificultad de Deducción,Comentarios
Sección A,Inicio: Prácticas enfocadas en los primeros pasos para mejorar habilidades básicas y establecer fundamentos sólidos.,,,,
1,resolver gran cantidad de problemas fáciles e incrementar gradualmente la dificultad.,Avanzados,Extremadamente importante,Moderadamente deducible,
2,"Si se conoce a alguien que tenga experiencia en programación competitiva, hacerle preguntas, pedir ayuda y si es posible clases de apoyo.",Iniciales,Importante,Fácil de deducir,
3,Conseguir algún libro base y leerlo de principio a fin.,Ambos,Importante,Fácil de deducir,
4,"Para formar un equipo tomar en cuenta personas que: tengan buena relación, tengan buena comunicación, les divierta resolver problemas, les guste programar, compartan objetivos, compartan el nivel de compromiso, cuenten con habilidades complementarias, tengan experiencia y nivel competitivo similar.",Ambos,Muy importante,Difícil de deducir,
5,"Alcanzar un nivel adecuado de lectura de inglés para comprender correctamente enunciados y editoriales de problemas, mientras se amplía de manera constante el vocabulario.",Ambos,Extremadamente importante,Fácil de deducir,
6,"Practicar constantemente dactilografía para incrementar la velocidad de escritura de código, se considera aceptable poder escribir sin mirar el teclado con un mínimo de 50 palabras por minuto.",Avanzados,Poco importante,Moderadamente deducible,
Sección B,Entrenamiento Individual: Prácticas diseñadas para mejorar habilidades personales a través del entrenamiento constante.,,,,
7,Mantener un ritmo constante de entrenamiento y evitar dejar de entrenar por largos periodos de tiempo.,Ambos,Muy importante,Moderadamente deducible,
8,"Fuera de competencia, antes de comenzar a escribir código, estimar cuánto tiempo tomará hacerlo, medir el tiempo real hasta obtener un envío aceptado, y luego comparar ambos para mejorar gradualmente la precisión en la estimación.",Avanzados,Importante,Moderadamente deducible,
9,"Fuera de competencia, reescribir varias veces el código de una solución difícil, hasta sentirse cómodo escribiendo un código similar sin dificultad.",Ambos,Poco importante,Moderadamente deducible,
10,"Después de resolver un problema preguntarse qué se hizo bien, que se hizo mal, cómo se podría haber resuelto en menos tiempo y que se aprendió mientras se resolvió el problema.",Ambos,Muy importante,Moderadamente deducible,
11,Después de resolver un problema comparar la solución con la de otros competidores.,Ambos,Importante,Moderadamente deducible,
12,"Si después de resolver un problema se ha desarrollado una técnica que se cree puede servir para otros problemas, documentar dicha técnica y compartirla.",Ambos,Muy importante,Moderadamente deducible,
13,"Consumir incrementalmente la editorial de un problema, leer la primera oración de la explicación y luego pensar 5 minutos, continuar avanzando oración por oración, párrafo por párrafo, intentando deducir la solución por cuenta propia a partir de algún punto.",Ambos,Extremadamente importante,Moderadamente deducible,
14,"Si después de leer un par de veces la editorial de un problema aún no se consigue entender la solución, copiarla a mano en una hoja de papel y leer un par de veces más.",Iniciales,Nada importante,Fácil de deducir,
15,"Si después de leer un par de veces la editorial de un problema aún no se consigue entender la solución, leer códigos aceptados disponibles de varios competidores.",Ambos,Importante,Moderadamente deducible,
16,"Si después de intentar comprender la solución de un problema de múltiples maneras y tras varias horas de esfuerzo aún no se entiende, archivarlo e intentarlo en otra ocasión.",Ambos,Importante,Difícil de deducir,
17,Leer códigos de algoritmos de distintas fuentes referenciales.,Ambos,Muy importante,Moderadamente deducible,
18,"Para consolidar el dominio de una técnica o algoritmo, revisarlo en detalle, anotar los puntos importantes y enseñarlo a competidores de menor nivel o que no estén familiarizados con esa técnica o algoritmo.",Ambos,Importante,Fácil de deducir,
Sección C,"Entrenamiento en Equipo: Prácticas orientadas a la colaboración, comunicación y fortalecimiento de dinámicas de equipo.",,,,
19,Desarrollar amistad entre los integrantes del equipo.,Ambos,Muy importante,Moderadamente deducible,
20,Desarrollar comunicación efectiva entre los integrantes del equipo.,Ambos,Muy importante,Moderadamente deducible,
21,Conocer las fortalezas y debilidades de cada miembro del equipo.,Ambos,Muy importante,Difícil de deducir,
22,Entre compañeros de equipo desarrollar estilos de programación similares.,Ambos,Importante,Moderadamente deducible,
23,Participar en la mayor cantidad de competencias que se pueda.,Ambos,Poco importante,Moderadamente deducible,
24,Participar en campamentos de programación.,Ambos,Extremadamente importante,Difícil de deducir,
25,Realizar sesiones de entrenamiento entre varios equipos.,Ambos,Poco importante,Difícil de deducir,
26,Entrenar con competencias/problemas que cuenten con editorial y acceso a códigos aceptados para su posterior lectura.,Ambos,Extremadamente importante,Moderadamente deducible,
27,"Para mejorar la dinámica de resolución de problemas en equipo, seleccionar problemas difíciles y resolverlos en grupos de 2 o 3 personas, practicando el pensamiento en voz alta, el intercambio de ideas, la creatividad, la discusión productiva, y la refutación de ideas erróneas.",Ambos,Importante,Moderadamente deducible,
